,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
856,3.52,186,963,0,0,23,32,33,98,West Texas A & M University,Canyon,TX,Predominantly bachelor's-degree granting,Graduate degree,Public,0.5825,Not online only,8456.0,9903.0,0.7986,4-year,91888901.0,7326.0,15033.0,20456.0,False
857,8.05,329,1593,6,71,32,11,114,95,Bridgerland Technical College,Logan,UT,Predominantly certificate-degree granting,Certificate degree,Public,,Not online only,,,,Less-than-2-year,,1333.0,,,False
858,9.04,221,1230,41,10,21,29,51,69,Cameo College of Essential Beauty,Murray,UT,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,205.0,23742.0,28079.0,False
859,5.13,354,796,14,13,125,48,58,96,Saint Michael's College,Colchester,VT,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8781,Not online only,48175.0,48175.0,1.0,4-year,89072641.0,1501.0,29361.0,61892.0,False
860,4.02,777,1635,1,1,33,15,56,671,Central School of Practical Nursing,Norfolk,VA,Predominantly certificate-degree granting,Certificate degree,Public,,Not online only,,,,Less-than-2-year,,28.0,8861.0,11674.0,False
861,3.83,152,733,0,8,9,20,42,73,Central Virginia Community College,Lynchburg,VA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4838.0,10841.0,0.2755,2-year,1675074.0,1976.0,4869.0,10432.0,False
862,4.82,318,1030,5,5,34,87,41,146,Emory & Henry College,Emory,VA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7541,Not online only,35100.0,35100.0,1.0,4-year,90708134.0,943.0,17245.0,50310.0,False
863,5.33,263,1691,17,10,30,48,61,97,University of Lynchburg,Lynchburg,VA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9727,Not online only,41880.0,41880.0,0.6482,4-year,112958188.0,1801.0,23134.0,54119.0,False
864,6.23,566,1621,17,8,102,42,70,327,Marymount University,Arlington,VA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8526,Not online only,34540.0,34540.0,0.4579,4-year,46908426.0,2011.0,22856.0,47495.0,False
865,4.42,264,1592,2,16,28,37,88,93,New River Community College,Dublin,VA,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4697.0,10699.0,0.3288,2-year,11091881.0,2067.0,6475.0,11774.0,False
866,2.33,228,1198,15,39,30,7,51,86,Tidewater Tech-Trades,Norfolk,VA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,16337.0,16337.0,,Less-than-2-year,,436.0,22077.0,28062.0,False
867,6.22,789,5742,8,0,15,29,344,393,Norfolk State University,Norfolk,VA,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9107,Not online only,9622.0,20790.0,1.0,4-year,24484727.0,4977.0,15657.0,26439.0,False
868,4.62,209,1217,3,10,62,25,64,45,Piedmont Virginia Community College,Charlottesville,VA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4790.0,10793.0,0.2669,2-year,10327055.0,2925.0,6913.0,11936.0,False
869,6.45,148,1112,15,15,42,21,35,20,Sylvain Melloul International Hair Academy,Lynchburg,VA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,138.0,15957.0,20638.0,False
870,5.73,274,1227,6,47,60,30,26,105,Rappahannock Community College,Glenns,VA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4820.0,10823.0,0.1923,2-year,10529997.0,1196.0,5921.0,12052.0,False
871,3.42,560,1408,0,2,67,47,94,350,Southside Virginia Community College,Alberta,VA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4695.0,10698.0,0.3265,2-year,3813164.0,1611.0,6239.0,12501.0,False
872,5.74,228,1062,3,13,61,29,43,79,Southwest Virginia Community College,Cedar Bluff,VA,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4703.0,10706.0,0.3333,2-year,0.0,1561.0,6933.0,14048.0,False
873,4.62,39,316,2,8,2,5,19,3,Staunton School of Cosmetology,Staunton,VA,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,30.0,13828.0,16611.0,False
