,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
378,"Home - Standard Healthcare Services, Inc.",standardcollege.edu,4.22,304,1168,http://wave.webaim.org/report?url=https://www.standardcollege.edu/,17,39,53,11,84,100
379,Home | University of Missouri - Kansas City,umkc.edu,4.02,126,446,http://wave.webaim.org/report?url=https://www.umkc.edu/,4,3,24,10,34,51
380,Reformed Episcopal Seminary | Training Christ’s people to serve the ﬂock of the Lord Jesus Christ.,reseminary.edu,3.02,66,591,http://wave.webaim.org/report?url=reseminary.edu/,15,3,16,5,15,12
381,Homepage | Tougaloo College,tougaloo.edu,3.02,731,865,http://wave.webaim.org/report?url=www.tougaloo.edu/,9,0,58,12,84,568
382,"San Antonio, TX Campus | Strayer University",strayer.edu/campus-locations/texas/san-antonio,11.94,885,2352,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/texas/san-antonio,5,14,45,83,78,660
383,"Career Education | Merrimack, NH",harmony-health.org,2.52,81,456,http://wave.webaim.org/report?url=www.harmony-health.org/,4,14,32,15,16,0
384,"St. John Fisher University, Rochester, NY",sjfc.edu,5.22,103,644,http://wave.webaim.org/report?url=https://www.sjfc.edu/,4,1,12,30,33,23
385,Home - Rosedale Bible College,rosedale.edu,7.34,638,2493,http://wave.webaim.org/report?url=www.rosedale.edu/,12,18,60,35,94,419
386,Hobart and William Smith Colleges,hws.edu,2.72,83,487,http://wave.webaim.org/report?url=www.hws.edu/,1,4,9,22,47,0
387,SBBCollege Medical School - Medical College in California,sbbcollege.edu,3.42,127,472,http://wave.webaim.org/report?url=sbbcollege.edu/,26,8,4,12,30,47
388,Georgia Southern University,georgiasouthern.edu,6.34,199,1383,http://wave.webaim.org/report?url=www.georgiasouthern.edu/,3,2,26,48,52,68
389,"American Beauty School | Home | Beauty School in Miami, FL",americanbeautyschools.com,3.32,167,447,http://wave.webaim.org/report?url=www.americanbeautyschools.com/,8,92,18,14,22,13
390,A Leader In Christian Higher Education | Gardner-Webb University,gardner-webb.edu,4.24,467,958,http://wave.webaim.org/report?url=www.gardner-webb.edu/,1,28,10,17,56,355
391,Adrian's Beauty Colleges,adrians.edu,5.12,134,718,http://wave.webaim.org/report?url=www.adrians.edu/,16,14,9,22,41,32
392,Judson College — Light and Truth,judson.edu,7.33,50,331,http://wave.webaim.org/report?url=www.judson.edu/,2,7,13,5,13,10
393,Lycoming College | Nationally-ranked liberal arts college in Pennsylvania,lycoming.edu,2.32,196,828,http://wave.webaim.org/report?url=https://www.lycoming.edu/,5,22,15,26,44,84
394,Beauty School in Iowa: Learn to Become A Cosmetologist,ljic.edu,4.92,569,1611,http://wave.webaim.org/report?url=www.ljic.edu/,44,23,22,30,50,400
395,Home | Bull City Barber Co.,bullcitybarbercollege.com,2.52,116,582,http://wave.webaim.org/report?url=www.bullcitybarbercollege.com/,5,19,19,2,19,52
396,RCC Homepage - Rockland Community College,sunyrockland.edu,3.82,198,1226,http://wave.webaim.org/report?url=www.sunyrockland.edu/,8,29,15,25,29,92
397,Louisiana and Arkansas Truck Driving SchoolDiesel Driving Academy,dda.edu,4.22,161,881,http://wave.webaim.org/report?url=www.dda.edu/,5,4,36,15,24,77
398,"Cosmetology School - Aveda Institute Columbus, OH - Beauty Academy",avedafi.edu/columbus,6.64,636,1237,http://wave.webaim.org/report?url=https://avedafi.edu/columbus/,33,40,52,40,122,349
399,Universidad Central de Bayamón – Una universidad con sentido humano,ucb.edu.pr,6.5,206,1921,http://wave.webaim.org/report?url=www.ucb.edu.pr/,12,33,38,29,88,6
400,"L'esprit Academy | Hair, Skin, Nails | Beauty School | Royal Oak & Canton",lespritacademy.com,6.93,209,1509,http://wave.webaim.org/report?url=www.lespritacademy.com/,4,11,42,37,55,60
401,Grand Canyon University | Private Christian University – Phoenix AZ,gcu.edu,4.33,824,1369,http://wave.webaim.org/report?url=www.gcu.edu/,6,1,40,54,48,675
402,Home | Florida College,floridacollege.edu,4.12,122,605,http://wave.webaim.org/report?url=www.floridacollege.edu/,24,6,40,4,42,6
403,"Penn State World Campus - Degrees, Certificates, and Courses Offered Online",worldcampus.psu.edu,3.72,165,1102,http://wave.webaim.org/report?url=worldcampus.psu.edu/,3,3,5,17,43,94
404,Las Vegas Bartending School and Casino Dealer School - Crescent School of Gaming and Bartending,crescent.edu,4.93,166,674,http://wave.webaim.org/report?url=crescent.edu/,25,4,31,24,56,26
405,www.escuelatroqueleria.jimdo.com - Escuela de Troqueleria y Herramentaje,escuelatroqueleria.jimdo.com,2.82,108,484,http://wave.webaim.org/report?url=escuelatroqueleria.jimdo.com/,22,31,18,7,26,4
406,Holy Names University,hnu.edu,4.62,594,2199,http://wave.webaim.org/report?url=www.hnu.edu/,8,5,10,255,273,43
407,Abilene Christian University,acu.edu,15.79,187,833,http://wave.webaim.org/report?url=www.acu.edu/,1,5,8,11,33,129
408,"Oklahoma Technical College | OTC | Technical College | Tulsa, OK",oklahomatechnicalcollege.com,4.53,457,1238,http://wave.webaim.org/report?url=www.oklahomatechnicalcollege.com/,12,6,27,46,34,332
409,"Psychology Programs in Anaheim, California | The Chicago School",thechicagoschool.edu/anaheim,5.72,256,1500,http://wave.webaim.org/report?url=https://www.thechicagoschool.edu/anaheim/,0,4,13,21,55,163
410,WKU - Western Kentucky University,wku.edu,4.12,202,636,http://wave.webaim.org/report?url=www.wku.edu/,0,6,30,19,47,100
411,ICPR Junior College,icprjc.edu,4.73,150,653,http://wave.webaim.org/report?url=www.icprjc.edu/,18,12,34,15,41,30
412,One of the Best Small Colleges in the Country | Coe College,coe.edu,5.13,156,557,http://wave.webaim.org/report?url=www.coe.edu/,3,7,25,28,42,51
413,Home | Mills College at Northeastern University,mills.edu,2.62,56,240,http://wave.webaim.org/report?url=https://www.mills.edu/,0,2,13,11,19,11
414,HomePage - TRI-STATE BIBLE COLLEGE,tsbc.edu,6.83,440,1389,http://wave.webaim.org/report?url=www.tsbc.edu/,13,7,28,28,52,312
415,Home | TCAT Murfreesboro,tcatmurfreesboro.edu,5.72,134,787,http://wave.webaim.org/report?url=www.tcatmurfreesboro.edu/,6,5,14,35,29,45
416,Home,masters.edu,2.42,504,1641,http://wave.webaim.org/report?url=www.masters.edu/,6,9,145,73,90,181
417,USD Home | University of South Dakota,usd.edu,4.02,215,895,http://wave.webaim.org/report?url=www.usd.edu/,1,12,14,40,53,95
418,Missouri Baptist University | Shine On,mobap.edu,3.32,351,1446,http://wave.webaim.org/report?url=www.mobap.edu/,47,39,34,11,107,113
419,"Aviator – College of Aeronautical Science & Technology – Kissimmee, Florida",aviatoramt.com,5.63,135,627,http://wave.webaim.org/report?url=www.aviatoramt.com/,2,19,4,3,32,75
420,Home,fitnyc.edu,7.04,1525,6320,http://wave.webaim.org/report?url=www.fitnyc.edu/,4,10,12,16,500,983
421,,ivytech.edu/columbus,2.52,174,805,http://wave.webaim.org/report?url=www.ivytech.edu/columbus/,9,1,6,38,45,75
422,Chicago Theological Seminary | Welcome,ctschicago.edu,7.65,181,841,http://wave.webaim.org/report?url=https://www.ctschicago.edu/,3,13,26,71,39,29
423,Dream It. Chase It. Live It. : Spartanburg Community College,sccsc.edu,3.53,87,579,http://wave.webaim.org/report?url=https://www.sccsc.edu/,0,0,18,16,40,13
424,"Cosmetology & Beauty School in Normal, IL | Paul Mitchell",paulmitchell.edu/normal,2.82,82,480,http://wave.webaim.org/report?url=paulmitchell.edu/normal,0,3,18,16,27,18
425,"Cosmetology & Beauty School Annapolis, MD | Paul Mitchell",paulmitchell.edu/annapolis,2.62,77,421,http://wave.webaim.org/report?url=paulmitchell.edu/annapolis,0,3,16,14,26,18
426,Home | tulane,tulane.edu,3.73,194,775,http://wave.webaim.org/report?url=https://tulane.edu/,8,1,27,10,45,103
427,New Mexico Highlands University,nmhu.edu,4.93,307,1108,http://wave.webaim.org/report?url=www.nmhu.edu/,4,12,32,15,101,143
428,Morgan State University - Maryland's Preeminent Urban Public Research University,morgan.edu,5.03,780,1448,http://wave.webaim.org/report?url=https://www.morgan.edu/,4,0,237,13,187,339
429,Suffolk University in Boston - Suffolk University,suffolk.edu,5.93,411,1028,http://wave.webaim.org/report?url=https://www.suffolk.edu/,4,19,11,52,60,265
430,Whitman College,whitman.edu,3.92,239,839,http://wave.webaim.org/report?url=www.whitman.edu/,13,3,9,9,40,165
431,"California State University, Northridge",csun.edu,2.82,125,653,http://wave.webaim.org/report?url=https://www.csun.edu/,0,5,8,26,51,35
432,Bay College | Learn On-Campus and Online,baycollege.edu,4.93,580,1761,http://wave.webaim.org/report?url=https://www.baycollege.edu/,1,0,85,91,170,233
433,Lebanon Valley College,lvc.edu,8.15,300,1357,http://wave.webaim.org/report?url=www.lvc.edu/,0,0,53,71,56,120
434,Washington State University | Washington State University,wsu.edu,5.94,524,1110,http://wave.webaim.org/report?url=https://wsu.edu/,9,49,23,53,39,351
435,"Kansas City, MO | Columbia College",ccis.edu/locations/kansas-city.aspx,4.73,307,1318,http://wave.webaim.org/report?url=www.ccis.edu/locations/kansas-city.aspx,6,11,27,31,86,146
436,Home,law.cuny.edu,2.92,70,639,http://wave.webaim.org/report?url=www.law.cuny.edu/,1,0,8,25,34,2
437,College of Southern Maryland,csmd.edu,4.83,519,909,http://wave.webaim.org/report?url=www.csmd.edu/,1,5,29,47,46,391
438,Illinois State University - Illinois’ first public university,illinoisstate.edu,4.43,227,699,http://wave.webaim.org/report?url=illinoisstate.edu/,3,26,3,25,72,98
439,"University of St. Thomas | Catholic University Houston, Tx",stthom.edu,4.32,103,588,http://wave.webaim.org/report?url=https://www.stthom.edu/,0,8,18,14,31,32
440,"La Sierra University - Riverside, CA",lasierra.edu,4.02,631,1532,http://wave.webaim.org/report?url=https://lasierra.edu/,8,464,27,14,31,87
441,G Skin & Beauty Institute | Naperville Skin Institute | Beauty School,gskinbeautyinstitute.edu,7.03,438,1302,http://wave.webaim.org/report?url=www.gskinbeautyinstitute.edu/,55,51,162,44,71,55
442,CSN,csn.edu,3.44,95,1045,http://wave.webaim.org/report?url=www.csn.edu/,14,2,5,15,32,27
443,Blue Mountain College | #1 Ranked Value School by US News & World Reports,bmc.edu,7.43,116,573,http://wave.webaim.org/report?url=www.bmc.edu/,15,14,23,14,50,0
444,"Valley College - Career Training in West Virginia & Cleveland, OH",valley.edu,3.42,379,1267,http://wave.webaim.org/report?url=www.valley.edu/,0,54,171,27,68,59
445,Columbia International University (CIU) | South Carolina's #1 Online College - World-class Christian Education since 1923.,ciu.edu,3.02,278,1474,http://wave.webaim.org/report?url=www.ciu.edu/,38,29,47,59,37,68
446,Trinity School of Nursing – Department of Trinity Health System,trinityson.com,4.63,119,784,http://wave.webaim.org/report?url=https://trinityson.com/,4,23,29,18,45,0
447,"Berkeley College | Degree & Certificate Programs in NJ, NY & Online",berkeleycollege.edu,6.24,233,1588,http://wave.webaim.org/report?url=https://berkeleycollege.edu/,1,2,14,26,101,89
448,Great Basin College: Home,gbcnv.edu,3.72,128,798,http://wave.webaim.org/report?url=www.gbcnv.edu/,7,1,16,25,33,46
449,Home | California State University Stanislaus,csustan.edu,3.02,313,1035,http://wave.webaim.org/report?url=https://www.csustan.edu/,2,36,37,29,67,142
450,"Larry's Barber College | Larry Roberts, Jr. | 5 locations",larrysbarbercollege.com,5.43,116,580,http://wave.webaim.org/report?url=https://www.larrysbarbercollege.com/,6,5,33,6,17,49
451,University of Lynchburg,lynchburg.edu,5.33,263,1691,http://wave.webaim.org/report?url=www.lynchburg.edu/,17,10,30,48,61,97
452,Home - Evangelical Seminary,evangelical.edu,2.82,179,454,http://wave.webaim.org/report?url=www.evangelical.edu/,3,69,24,11,41,31
453,Leon's Beauty School,leonsbeauty.com,2.22,113,323,http://wave.webaim.org/report?url=www.leonsbeauty.com/,10,40,11,2,33,17
454,Western Connecticut State University,wcsu.edu,5.52,287,1977,http://wave.webaim.org/report?url=www.wcsu.edu/,13,20,34,18,91,111
455,Welcome | Martin Community College,martincc.edu,2.31,86,479,http://wave.webaim.org/report?url=www.martincc.edu/,0,0,6,21,54,5
456,Limestone University | The University of Choice in South Carolina,limestone.edu,3.62,1120,2263,http://wave.webaim.org/report?url=www.limestone.edu/,6,8,45,53,223,785
457,"Yeshiva Gedolah of Cliffwood – Keyport, New Jersey",yeshivagedolahcliffwood.com,3.12,31,207,http://wave.webaim.org/report?url=https://yeshivagedolahcliffwood.com/,1,4,2,7,13,4
458,"Texas County Technical College | Houston, MO Nursing School",texascountytech.edu,2.42,47,299,http://wave.webaim.org/report?url=www.texascountytech.edu/,0,1,5,11,23,7
459,Norfolk State University - Norfolk State University,nsu.edu,6.22,789,5742,http://wave.webaim.org/report?url=www.nsu.edu/,8,0,15,29,344,393
460,Everglades University | Online Degrees & Degree Programs,evergladesuniversity.edu,9.94,710,1977,http://wave.webaim.org/report?url=www.evergladesuniversity.edu/,17,2,52,39,87,513
461,Welcome to La Roche University,laroche.edu,8.15,155,606,http://wave.webaim.org/report?url=www.laroche.edu/,1,0,32,30,41,51
462,"Center for Employment Training - Job Training, Placement Assistance & More",cetweb.edu,11.94,298,1474,http://wave.webaim.org/report?url=https://www.cetweb.edu/,26,11,52,71,60,78
463,Rockford University: Accredited Degree Programs in Rockford IL,rockford.edu,9.97,193,1741,http://wave.webaim.org/report?url=www.rockford.edu/,24,5,27,15,65,57
464,Home,rabbinical.org,4.32,135,312,http://wave.webaim.org/report?url=www.rabbinical.org/,2,4,5,5,19,100
465,Hillsdale Beauty College – Offering the BEST Cosmetology Education,hillsdalebeautycollege.com,3.62,87,444,http://wave.webaim.org/report?url=www.hillsdalebeautycollege.com/,2,23,8,12,17,25
466,"Summit Salon Academy Kokomo: Cosmetology, Barbering, Esthetics, Manicurist",kokomobeautyschool.com,3.02,100,488,http://wave.webaim.org/report?url=kokomobeautyschool.com/,0,15,25,15,14,31
467,Welcome to the University at Buffalo - University at Buffalo,buffalo.edu,9.24,568,3655,http://wave.webaim.org/report?url=www.buffalo.edu/,0,5,252,44,100,167
468,Home | LABI.EDU,labi.edu,4.74,207,729,http://wave.webaim.org/report?url=labi.edu/,1,7,23,11,27,138
469,John A. Logan College,jalc.edu,2.52,72,305,http://wave.webaim.org/report?url=https://www.jalc.edu/,6,22,8,9,22,5
470,"Prestige Health & Beauty Sciences Academy | Prestige Health & Beauty Sciences Academy - phabsa.com - Start a rewarding career in Beauty industry or Healthcare: Cosmetology, Nail Technician, Skin Care/Facial, Dental Assisting, Medical Assisting, Massage Therapy an more!",phabsa.com,2.83,45,194,http://wave.webaim.org/report?url=phabsa.com/,9,7,2,4,22,1
471,Stanford University,stanford.edu,2.82,272,764,http://wave.webaim.org/report?url=www.stanford.edu/,11,9,24,58,77,93
472,Find Your Bold | Wilson Edu,wilson.edu,3.22,144,1086,http://wave.webaim.org/report?url=www.wilson.edu/,3,3,12,34,26,66
473,Seattle › Antioch University,antiochseattle.edu,6.33,428,1317,http://wave.webaim.org/report?url=www.antiochseattle.edu/,4,16,27,10,111,260
474,"Lawrence and Company College of Cosmetology Selma, CA",lawrencecosmetology.com,1.92,33,151,http://wave.webaim.org/report?url=www.lawrencecosmetology.com/,9,2,16,0,6,0
475,Eastern Virginia Career College Fredericksburg | Get your career started with Eastern Virginia Career College in Fredericksburg,evcc.edu,9.33,453,879,http://wave.webaim.org/report?url=www.evcc.edu/,17,75,37,43,99,182
476,RUSH University,rushu.rush.edu,3.76,351,1160,http://wave.webaim.org/report?url=www.rushu.rush.edu/,15,62,26,34,61,153
477,Home Page - Tarrant County College,tccd.edu,2.82,57,369,http://wave.webaim.org/report?url=www.tccd.edu/,0,0,5,16,28,8
478,School Of Cosmetology | Evolve Beauty Academy | United States,evolvebeautyacademy.edu,3.52,98,422,http://wave.webaim.org/report?url=evolvebeautyacademy.edu/,3,1,8,3,23,60
479,Flight School Minneapolis St. Paul MN Dispatch Aviation + Pilot Programs,academycollege.edu,5.13,191,642,http://wave.webaim.org/report?url=www.academycollege.edu/,13,28,23,18,55,54
480,Homepage • Marymount Manhattan College,mmm.edu,6.34,221,1253,http://wave.webaim.org/report?url=www.mmm.edu/,1,36,14,69,36,65
481,SFBU | San Francisco Bay University | SFBU,sfbu.edu,2.92,189,782,http://wave.webaim.org/report?url=https://www.sfbu.edu/,4,8,47,26,61,43
482,Santa Barbara › Antioch University,antiochsb.edu,5.83,422,1278,http://wave.webaim.org/report?url=www.antiochsb.edu/,4,17,26,10,108,257
483,"Enterprise State Community College | Your College, Your Future",escc.edu,5.12,243,1519,http://wave.webaim.org/report?url=www.escc.edu/,16,17,23,27,95,65
484,Auguste Escoffier School of Culinary Arts | Culinary School,escoffier.edu,3.52,181,1232,http://wave.webaim.org/report?url=www.escoffier.edu/,22,30,54,25,47,3
485,"Cosmetology & Beauty School Sherman Oaks, CA | Paul Mitchell",paulmitchell.edu/shermanoaks,2.72,86,499,http://wave.webaim.org/report?url=paulmitchell.edu/shermanoaks,0,3,22,16,27,18
486,"Columbia, SC Campus | Strayer University",strayer.edu/campus-locations/south-carolina/columbia,5.02,885,2356,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/south-carolina/columbia,5,14,45,84,79,658
487,"Salt Lake City, UT | Columbia College",ccis.edu/locations/salt-lake.aspx,4.02,300,1301,http://wave.webaim.org/report?url=www.ccis.edu/locations/salt-lake.aspx,6,11,24,30,86,143
488,St. Cloud State University,stcloudstate.edu,4.33,143,603,http://wave.webaim.org/report?url=https://www.stcloudstate.edu/,21,17,14,22,44,25
489,Middle Tennessee State University | Middle Tennessee State University,mtsu.edu,4.52,92,528,http://wave.webaim.org/report?url=www.mtsu.edu/,5,6,24,11,26,20
490,Universidad Interamericana de Puerto Rico – Recinto de Bayamón – Universidad Interamericana de Puerto Rico – Recinto de Bayamón,bayamon.inter.edu,7.43,63,557,http://wave.webaim.org/report?url=bayamon.inter.edu/,18,3,7,4,21,10
491,Delaware State University,desu.edu,3.32,894,3857,http://wave.webaim.org/report?url=www.desu.edu/,0,7,8,131,571,177
492,Welcome| Aviation Maintenance Technology Program | Victor Valley College,vvc.edu/academic/aviation-tech,7.42,488,1413,http://wave.webaim.org/report?url=www.vvc.edu/academic/aviation-tech/,0,27,69,29,100,263
493,Abraham Lincoln University | Earn Your Law Degree Online,alu.edu,4.93,311,1796,http://wave.webaim.org/report?url=https://www.alu.edu/,14,30,41,46,72,108
494,Oklahoma State University-Oklahoma City | Celebrating 60 Years 1961-2021,osuokc.edu,3.72,204,970,http://wave.webaim.org/report?url=www.osuokc.edu/,5,9,21,21,37,111
495,"Mid-America College of Funeral Service - Jeffersonville, Indiana",mid-america.edu,2.82,143,656,http://wave.webaim.org/report?url=www.mid-america.edu/,3,2,57,4,34,43
496,Home | Mercy College,mercycollege.edu,3.72,141,826,http://wave.webaim.org/report?url=www.mercycollege.edu/,0,16,21,19,52,33
497,Onondaga - Cortland - Madison Counties BOCES,ocmboces.org,2.72,148,818,http://wave.webaim.org/report?url=ocmboces.org/,18,41,19,18,44,8
498,Welcome to Walsh University,walsh.edu,4.42,284,584,http://wave.webaim.org/report?url=https://www.walsh.edu/,1,0,25,41,20,197
499,Home - Gene Juarez Academy,genejuarezacademy.edu,5.74,590,2248,http://wave.webaim.org/report?url=https://genejuarezacademy.edu/,101,17,97,46,97,232
500,Chestnut Hill College |,chc.edu,4.62,140,891,http://wave.webaim.org/report?url=www.chc.edu/,15,30,25,29,37,4
501,Home | Southside Virginia Community College,southside.edu,3.42,560,1408,http://wave.webaim.org/report?url=https://www.southside.edu/,0,2,67,47,94,350
502,University of Findlay | Meaningful Lives. Productive Careers.,findlay.edu,3.82,234,899,http://wave.webaim.org/report?url=www.findlay.edu/,0,31,87,39,36,41
503,"Cosmetology & Beauty School Frederick, MD | Paul Mitchell",paulmitchell.edu/frederick,2.52,77,410,http://wave.webaim.org/report?url=paulmitchell.edu/frederick,0,3,16,14,26,18
504,Home | Central College,central.edu,3.12,118,801,http://wave.webaim.org/report?url=www.central.edu/,8,1,27,27,32,23
505,"Concordia University, St. Paul",csp.edu,3.03,818,1122,http://wave.webaim.org/report?url=https://www.csp.edu/,1,3,65,22,28,699
506,Marquette University // Be The Difference,marquette.edu,3.04,256,852,http://wave.webaim.org/report?url=www.marquette.edu/,7,7,23,31,87,101
507,Career Training Programs | Porter & Chester Institute,porterchester.edu,7.55,134,960,http://wave.webaim.org/report?url=porterchester.edu/,1,12,12,46,62,1
508,Covenant School of Nursing | Covenant Health | Providence,covenanthealth.org/cson,8.63,240,963,http://wave.webaim.org/report?url=covenanthealth.org/cson,2,0,33,17,53,135
509,"Virginia Beach, VA Campus | Strayer University",strayer.edu/campus-locations/virginia/virginia-beach,9.13,887,2363,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/virginia/virginia-beach,5,14,45,84,79,660
510,New England College of Optometry - The most important decision of your life.,neco.edu,2.62,241,734,http://wave.webaim.org/report?url=www.neco.edu/,9,19,9,34,67,103
511,Missions College – Bethany Global University,bethanygu.edu,5.22,296,2389,http://wave.webaim.org/report?url=https://www.bethanygu.edu/,22,41,60,44,83,46
512,"Vocational, Technical, Trade & Career School | Peloton College",pelotoncollege.edu,5.23,229,902,http://wave.webaim.org/report?url=www.pelotoncollege.edu/,5,9,21,56,39,99
513,Adult Education | Miami Valley Career Technology Center,mvctc.com/ae,4.72,209,979,http://wave.webaim.org/report?url=www.mvctc.com/ae,91,0,16,4,98,0
514,Clover Park Technical College | Clover Park Technical College,cptc.edu,4.52,234,867,http://wave.webaim.org/report?url=www.cptc.edu/,4,2,37,5,51,135
515,"Cosmetology & Beauty School in Pasadena, CA | Paul Mitchell",paulmitchell.edu/pasadena,2.52,91,509,http://wave.webaim.org/report?url=paulmitchell.edu/pasadena,0,3,28,16,26,18
516,UAH - The University of Alabama in Huntsville,uah.edu,3.52,196,1356,http://wave.webaim.org/report?url=www.uah.edu/,12,11,22,30,60,61
517,Ohio State Beauty Academy | OSBA Cosmetology School,ohiostatebeauty.com,3.78,58,280,http://wave.webaim.org/report?url=www.ohiostatebeauty.com/,3,4,16,4,31,0
518,Western Carolina University - Western Carolina University | Home,wcu.edu,4.43,258,798,http://wave.webaim.org/report?url=www.wcu.edu/,4,3,18,13,59,161
519,Missouri Southern State University,mssu.edu,4.72,157,491,http://wave.webaim.org/report?url=www.mssu.edu/,1,8,35,23,54,36
520,Error,richporttech.org,1.82,8,50,http://wave.webaim.org/report?url=www.richporttech.org/,2,2,1,1,2,0
521,Home | Protege A,protegeacademy.com,3.12,65,215,http://wave.webaim.org/report?url=www.protegeacademy.com/,0,0,9,18,9,29
522,www.tonsorialartsbarbercollege.com | TONSORIAL ARTS BARBER COLLEGE,tonsorialartsbarbercollege.com,6.13,51,396,http://wave.webaim.org/report?url=https://www.tonsorialartsbarbercollege.com/,0,9,14,5,13,10
523,University of Western States | An Integrated Health Sciences University,uws.edu,3.92,167,765,http://wave.webaim.org/report?url=https://www.uws.edu/,5,3,20,18,78,43
524,Error,einsteinmed.org,2.62,3,6,http://wave.webaim.org/report?url=www.einsteinmed.org/,1,0,2,0,0,0
525,"Cosmetology & Beauty School in Boise, ID | Paul Mitchell",paulmitchell.edu/boise,2.72,139,654,http://wave.webaim.org/report?url=paulmitchell.edu/boise,0,3,32,18,28,58
526,"South College in Atlanta, GA | Atlanta Campus Information",south.edu/locations/atlanta,5.52,528,1274,http://wave.webaim.org/report?url=https://www.south.edu/locations/atlanta/,3,8,154,52,82,229
527,Missouri State University-West Plains - Missouri State-West Plains,wp.missouristate.edu,5.43,171,612,http://wave.webaim.org/report?url=wp.missouristate.edu/,0,1,12,31,64,63
528,Trade Schools in Dallas TX Metro | Aviation Institute of Maintenance,aviationmaintenance.edu/campuses/dallas-tx,4.62,232,1256,http://wave.webaim.org/report?url=https://www.aviationmaintenance.edu/campuses/dallas-tx/,9,34,21,21,55,92
529,Early childhood education and development programs | Erikson Institute,erikson.edu,3.43,344,1138,http://wave.webaim.org/report?url=https://www.erikson.edu/,0,28,95,35,89,97
530,Framingham State University,framingham.edu,2.52,910,1986,http://wave.webaim.org/report?url=www.framingham.edu/,5,1,199,22,82,601
531,Home - CINCollege,cincollege.org,3.82,164,1193,http://wave.webaim.org/report?url=https://cincollege.org/,0,7,16,11,73,57
532,Home - Stetson University,stetson.edu,2.62,197,640,http://wave.webaim.org/report?url=https://www.stetson.edu/,2,19,16,28,50,82
533,Salem College,salem.edu,3.62,1071,1962,http://wave.webaim.org/report?url=www.salem.edu/,0,0,44,25,30,972
534,Best Computer School NJ | IT school NJ | IT Training NJ,pcage.edu,2.73,115,508,http://wave.webaim.org/report?url=www.pcage.edu/,5,13,18,7,31,41
535,Home - MSMU,msmu.edu,4.52,460,1565,http://wave.webaim.org/report?url=www.msmu.edu/,4,2,10,96,74,274
536,MASTER'S BARBER COLLEGE – BARBERS AND HAIR STYLISTS,mastersbarbercollege.edu,4.72,46,359,http://wave.webaim.org/report?url=mastersbarbercollege.edu/,2,0,11,8,17,8
537,Oxford College | Emory University | Atlanta GA,oxford.emory.edu,3.52,118,495,http://wave.webaim.org/report?url=www.oxford.emory.edu/,8,5,9,21,28,47
538,Moravian University | Moravian University,moravian.edu,2.82,187,952,http://wave.webaim.org/report?url=www.moravian.edu/,0,2,18,22,72,73
539,"LaGrange College - a four year, private college in Georgia",lagrange.edu,2.92,251,752,http://wave.webaim.org/report?url=www.lagrange.edu/,2,0,50,41,35,123
540,Home | Stockton University,stockton.edu,2.12,180,373,http://wave.webaim.org/report?url=https://www.stockton.edu/,0,18,18,26,36,82
541,"Imperial, CA | Columbia College",ccis.edu/locations/imperial.aspx,4.22,725,1992,http://wave.webaim.org/report?url=www.ccis.edu/locations/imperial.aspx,6,15,246,29,108,321
542,Xavier University,xavier.edu,3.32,989,2143,http://wave.webaim.org/report?url=https://www.xavier.edu/,1,249,86,104,143,406
543,Century College,century.edu,4.13,368,1609,http://wave.webaim.org/report?url=https://www.century.edu/,1,21,10,61,50,225
544,The Southern Baptist Theological Seminary,sbts.edu,3.92,126,586,http://wave.webaim.org/report?url=www.sbts.edu/,12,19,14,14,50,17
545,"California State University, East Bay",csueastbay.edu,5.42,1019,3459,http://wave.webaim.org/report?url=www.csueastbay.edu/,1,1,195,202,336,284
546,Palo Verde College,paloverde.edu,6.63,145,564,http://wave.webaim.org/report?url=https://www.paloverde.edu/,4,15,18,25,29,54
547,Home - College of Menominee Nation - Why Wait?,menominee.edu,6.33,547,1386,http://wave.webaim.org/report?url=www.menominee.edu/,9,3,56,56,92,331
548,Computer Training School | Vocational School Los Angeles - ABCO Tech,abcotechnology.edu,6.74,188,751,http://wave.webaim.org/report?url=www.abcotechnology.edu/,15,7,44,31,63,28
549,North Florida Technical College / Homepage,nftc.edu,4.23,787,1527,http://wave.webaim.org/report?url=www.nftc.edu/,1,14,20,24,77,651
550,Blalock's Professional Beauty College,blalockbeauty.com,27.76,3,32,http://wave.webaim.org/report?url=blalockbeauty.com/,0,0,2,1,0,0
551,Home | Huntington Junior College,huntingtonjuniorcollege.edu,3.52,75,463,http://wave.webaim.org/report?url=www.huntingtonjuniorcollege.edu/,7,25,20,5,18,0
552,Clovis Community College,cloviscollege.edu,3.32,310,995,http://wave.webaim.org/report?url=www.cloviscollege.edu/,5,18,21,42,74,150
553,"Hongkong Pools: Live HK Pools, Result HK Prize, Live Draw HK Hari Ini",diamondscosmetology.com,3.32,72,247,http://wave.webaim.org/report?url=www.diamondscosmetology.com/,7,2,41,7,8,7
554,Metro State University,metrostate.edu,3.82,203,978,http://wave.webaim.org/report?url=www.metrostate.edu/,0,2,4,18,85,94
