,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
111,University of Arkansas,Fayetteville,AR,uark.edu,3,4,1,0.8267,0.0,23843.0,,9574.0,26390.0,0.8463,1,1209277289.0,24001.0,14998.0,
112,University of Arkansas at Pine Bluff,Pine Bluff,AR,uapb.edu,3,4,1,0.6753,0.0,18873.0,,8398.0,15268.0,0.8174,1,7488701.0,2444.0,10542.0,
113,Arkansas State University-Beebe,Beebe,AR,asub.edu,2,2,1,,0.0,15021.0,,2928.0,4656.0,0.6063,2,758354.0,1787.0,9708.0,
114,Arkansas State University,Jonesboro,AR,astate.edu,3,4,1,0.6329,0.0,21752.0,,7130.0,12698.0,1.0,1,82311424.0,7478.0,13430.0,
115,Arkansas Tech University,Russellville,AR,atu.edu,3,4,1,0.9437,0.0,19857.0,,7900.0,13636.0,0.9914,1,49075714.0,6467.0,12191.0,
116,University of Arkansas at Monticello,Monticello,AR,uamont.edu,1,4,1,,0.0,19028.0,,8029.0,13879.0,1.0,1,3728045.0,1946.0,12907.0,
117,Arthur's Beauty College,Jacksonville,AR,arthursbeautycollege.com,1,1,3,,0.0,,16429.0,,,,3,,38.0,,11071.0
118,Baptist Health College Little Rock,Little Rock,AR,bhclr.edu,2,2,2,0.0,0.0,24888.0,,12598.0,12598.0,0.5833,2,8492655.0,666.0,,23271.0
119,Black River Technical College,Pocahontas,AR,blackrivertech.edu,1,2,1,,0.0,13317.0,,4118.0,6350.0,0.5938,2,133095.0,1068.0,8204.0,
120,University of Central Arkansas,Conway,AR,uca.edu,3,4,1,0.9237,0.0,21408.0,,9563.0,16433.0,0.8036,1,37677482.0,7763.0,14735.0,
121,Central Baptist College,Conway,AR,cbc.edu,3,3,2,0.616,0.0,27262.0,,17400.0,17400.0,0.3011,1,3624265.0,546.0,,23545.0
122,Cossatot Community College of the University of Arkansas,De Queen,AR,cccua.edu,1,2,1,,0.0,11803.0,,3570.0,4410.0,0.4571,2,82173.0,858.0,5172.0,
123,Crowley's Ridge College,Paragould,AR,crc.edu,3,3,2,,0.0,23830.0,,15250.0,15250.0,0.475,1,1528294.0,170.0,,15968.0
124,East Arkansas Community College,Forrest City,AR,eacc.edu,1,2,1,,0.0,13211.0,,2820.0,3720.0,0.4615,2,326042.0,606.0,7290.0,
125,Eastern College of Health Vocations-Little Rock,Little Rock,AR,easterncollege.edu,1,1,3,,0.0,,17158.0,,,,3,,62.0,,13009.0
126,Paul Mitchell the School-Little Rock,North Little Rock,AR,paulmitchell.edu/littlerock,1,1,3,,0.0,,27194.0,,,,3,,330.0,,22641.0
127,National Park College,Hot Springs,AR,np.edu,1,2,1,,0.0,14109.0,,4550.0,6230.0,1.0,2,1331755.0,1903.0,8759.0,
128,University of Arkansas Community College-Batesville,Batesville,AR,uaccb.edu,1,2,1,,0.0,14176.0,,2526.0,3438.0,0.5,2,,698.0,7884.0,
129,Harding University,Searcy,AR,harding.edu,3,4,2,0.5414,0.0,33168.0,,22230.0,22230.0,0.7235,1,166223072.0,3262.0,,20429.0
130,Henderson State University,Arkadelphia,AR,hsu.edu,3,4,1,0.7501,0.0,25533.0,,7560.0,9768.0,0.9947,1,22488060.0,2205.0,16696.0,
131,Hendrix College,Conway,AR,hendrix.edu,3,4,2,0.683,0.0,55218.0,,33350.0,33350.0,1.0,1,181804465.0,1103.0,,10299.0
132,Hot Springs Beauty College,Hot Springs,AR,hotspringsbeautycollege.com,1,1,3,,0.0,,18428.0,,,,3,,85.0,,12579.0
133,Jefferson Regional School of Nursing,Pine Bluff,AR,jrmc.org,2,2,2,,0.0,,,,,,2,,66.0,,
134,John Brown University,Siloam Springs,AR,jbu.edu,3,4,2,0.5287,0.0,41492.0,,28924.0,28924.0,0.9483,1,126697574.0,1381.0,,18641.0
135,Career Academy of Hair Design,Springdale,AR,beautynwa.com,1,1,3,,0.0,,16868.0,,,,3,,196.0,,13018.0
